Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
SF,-7.0,-8.5,3.0,-1.0,-3.0,-6.5,0.5,4.0,,-2.0,-1.5,-4.5,-4.0,1.0,-4.0,-7.0,-1.5,-3.0
IND,-8.0,-4.5,2.0,-3.5,3.5,-8.0,1.0,-6.5,0.5,2.0,-3.0,-6.0,2.5,,1.0,-0.5,-3.5,-9.5
CIN,-6.5,2.5,-4.5,-4.0,3.0,-1.0,-10.5,1.5,-7.5,,-3.0,0.5,1.0,-3.0,4.0,-0.5,1.5,-3.0
KC,-6.0,-3.0,-2.0,3.0,-6.0,0.5,-0.5,,-6.0,-10.5,2.5,-3.0,-1.0,0.5,-10.5,-11.0,-4.0,-3.0
BAL,-7.0,-4.0,-0.5,1.0,-3.0,-4.0,-3.5,4.0,-0.5,,-6.5,-4.5,-2.0,-3.0,1.5,-9.5,-6.5,3.0
DEN,-6.5,-10.5,-3.0,0.5,-3.5,3.0,-9.5,-6.5,,-0.5,-4.0,-3.0,2.0,-0.5,-4.0,3.0,4.0,-1.5
NO,-5.5,3.0,-1.5,0.5,-6.5,1.0,3.0,-1.5,0.5,1.0,3.0,4.5,7.0,,-7.0,3.5,3.5,-4.0
TEN,-5.5,7.0,-2.5,3.5,0.5,,-1.0,-6.0,6.0,0.5,5.0,-0.5,3.0,-7.0,4.5,-9.0,-1.5,-3.5
PHI,-3.5,-2.5,-1.5,-7.5,2.0,-1.5,,-5.0,-6.5,-4.5,3.0,-0.5,-3.0,-2.5,-3.5,3.0,-3.5,-5.0
MIA,-3.5,4.0,3.5,4.0,-3.0,-3.0,-4.5,-3.0,-3.5,-0.5,,-8.0,4.0,5.0,7.0,1.5,2.0,-7.0
LAC,-3.5,3.0,-9.5,-8.0,-3.0,-3.0,-9.5,,-7.5,2.0,-2.5,-1.5,-0.5,-5.0,-4.5,0.5,-2.0,1.5
TB,-2.5,-3.0,-3.5,-3.0,-12.0,-5.0,-6.0,-4.0,-3.0,-10.5,,-2.5,-7.0,-1.0,-4.0,-1.5,-9.5,-7.5
WAS,-2.5,-1.0,1.5,6.5,-0.5,-0.5,3.5,6.5,0.5,4.5,-3.0,-6.0,1.0,,-3.5,7.0,3.0,2.0
BUF,-2.5,-7.0,-3.5,-1.0,-9.5,-0.5,,-4.0,-7.0,-7.5,-6.5,-9.0,-3.0,-11.0,-7.0,-7.5,-1.5,-7.5
CAR,-2.5,1.0,1.5,2.5,3.0,9.5,6.0,-1.0,7.5,-5.0,6.5,3.0,,1.0,-0.5,-3.5,9.5,4.0
GB,-2.0,-9.5,3.5,-6.0,-7.0,-9.5,-3.5,4.0,-6.0,-4.0,-5.0,0.5,-5.0,,-1.0,-1.5,-6.0,-9.5
MIN,2.0,2.5,-6.5,-0.5,-6.5,3.0,,-2.0,-0.5,7.5,-1.0,-3.0,-7.0,-3.0,-1.0,-6.5,6.0,-3.0
CLE,2.5,-5.5,-4.0,-5.0,3.0,-3.0,3.5,-1.5,,0.5,6.5,2.5,-7.5,3.0,-1.5,-3.5,-3.0,-2.0
LAR,2.5,-13.0,-1.5,1.0,-4.5,-9.5,,-4.0,3.0,-6.0,-3.0,3.0,-10.5,-5.0,1.0,-3.0,2.0,-7.0
JAX,2.5,4.5,9.5,7.5,-4.0,8.0,-2.0,6.5,3.5,10.5,,4.5,2.5,7.0,3.5,2.0,-1.5,3.5
DAL,2.5,-2.5,-3.5,-6.5,4.5,1.5,-7.5,-8.0,,4.0,1.0,-7.5,-2.5,-9.5,-3.5,-3.0,1.5,-2.0
LV,3.5,-2.5,2.5,-0.5,6.0,,-9.5,1.5,-3.5,-2.0,4.0,-3.0,0.5,5.0,-3.0,-2.0,1.5,3.0
NE,3.5,-1.5,0.5,6.0,-6.5,3.0,-6.5,-3.0,-0.5,,-7.0,3.0,3.0,3.0,3.0,0.5,-2.0,7.5
DET,3.5,1.0,6.5,-2.5,6.5,,7.5,3.0,6.0,2.0,2.5,9.0,-2.5,3.0,2.0,3.5,-3.0,9.5
NYG,5.5,-1.0,3.5,-3.5,7.0,4.0,2.0,2.0,,-4.5,-2.5,7.5,-1.0,2.5,3.5,6.5,3.5,5.0
ATL,5.5,13.0,3.5,5.0,12.0,6.5,10.5,1.0,7.5,5.0,-1.5,6.0,2.5,,7.0,9.5,5.0,7.5
SEA,6.5,8.5,-3.5,2.5,6.5,3.0,9.5,-2.0,7.5,10.5,,3.0,10.5,-1.0,4.0,11.0,-2.0,7.0
NYJ,7.0,5.5,4.5,4.0,3.0,9.5,9.5,3.0,7.0,,7.0,-3.0,7.0,11.0,-2.0,-2.0,2.0,7.0
ARI,6.0,2.5,1.5,-2.5,-2.0,-3.0,-3.0,2.0,-7.5,6.0,1.5,1.5,,-3.0,4.0,1.5,-5.0,3.0
PIT,6.5,1.5,4.0,-4.0,9.5,5.0,4.5,5.0,,-1.0,3.0,6.0,-2.5,3.0,0.5,2.0,6.5,2.0
HOU,8.0,10.5,4.0,8.0,4.0,,9.5,6.0,6.5,4.5,3.0,8.0,7.5,9.5,10.5,9.0,1.5,9.5
CHI,7.0,9.5,-4.0,3.5,6.5,0.5,6.5,8.0,3.5,-2.0,1.5,3.0,5.0,,3.5,7.5,3.0,3.0
